#alpha3	indicator	year	index	rank
AFG	glob	2006	nan	nan
AFG	glob	2007	nan	nan
AFG	glob	2008	nan	nan
AFG	glob	2009	nan	nan
AFG	glob	2010	nan	nan
AFG	glob	2011	nan	nan
AFG	glob	2012	nan	nan
AFG	glob	2013	nan	nan
AFG	glob	2014	nan	nan
AFG	glob	2015	nan	nan
AFG	glob	2016	nan	nan
AFG	glob	2017	nan	nan
AFG	glob	2018	nan	nan
AFG	glob	2019	nan	nan
AFG	glob	2020	0.444	156.0
AFG	eco	2006	nan	nan
AFG	eco	2007	nan	nan
AFG	eco	2008	nan	nan
AFG	eco	2009	nan	nan
AFG	eco	2010	nan	nan
AFG	eco	2011	nan	nan
AFG	eco	2012	nan	nan
AFG	eco	2013	nan	nan
AFG	eco	2014	nan	nan
AFG	eco	2015	nan	nan
AFG	eco	2016	nan	nan
AFG	eco	2017	nan	nan
AFG	eco	2018	nan	nan
AFG	eco	2019	nan	nan
AFG	eco	2020	0.18	156.0
AFG	edu	2006	nan	nan
AFG	edu	2007	nan	nan
AFG	edu	2008	nan	nan
AFG	edu	2009	nan	nan
AFG	edu	2010	nan	nan
AFG	edu	2011	nan	nan
AFG	edu	2012	nan	nan
AFG	edu	2013	nan	nan
AFG	edu	2014	nan	nan
AFG	edu	2015	nan	nan
AFG	edu	2016	nan	nan
AFG	edu	2017	nan	nan
AFG	edu	2018	nan	nan
AFG	edu	2019	nan	nan
AFG	edu	2020	0.514	156.0
AFG	health	2006	nan	nan
AFG	health	2007	nan	nan
AFG	health	2008	nan	nan
AFG	health	2009	nan	nan
AFG	health	2010	nan	nan
AFG	health	2011	nan	nan
AFG	health	2012	nan	nan
AFG	health	2013	nan	nan
AFG	health	2014	nan	nan
AFG	health	2015	nan	nan
AFG	health	2016	nan	nan
AFG	health	2017	nan	nan
AFG	health	2018	nan	nan
AFG	health	2019	nan	nan
AFG	health	2020	0.952	149.0
AFG	pol	2006	nan	nan
AFG	pol	2007	nan	nan
AFG	pol	2008	nan	nan
AFG	pol	2009	nan	nan
AFG	pol	2010	nan	nan
AFG	pol	2011	nan	nan
AFG	pol	2012	nan	nan
AFG	pol	2013	nan	nan
AFG	pol	2014	nan	nan
AFG	pol	2015	nan	nan
AFG	pol	2016	nan	nan
AFG	pol	2017	nan	nan
AFG	pol	2018	nan	nan
AFG	pol	2019	nan	nan
AFG	pol	2020	0.132	111.0
AGO	glob	2006	0.6038	96.0
AGO	glob	2007	0.6034	110.0
AGO	glob	2008	0.6032	114.0
AGO	glob	2009	0.6353	106.0
AGO	glob	2010	0.6712	81.0
AGO	glob	2011	0.6624	87.0
AGO	glob	2012	nan	nan
AGO	glob	2013	0.6659	92.0
AGO	glob	2014	0.6311	121.0
AGO	glob	2015	0.637	126.0
AGO	glob	2016	0.643	117.0
AGO	glob	2017	0.64	123.0
AGO	glob	2018	0.633	125.0
AGO	glob	2019	0.66	118.0
AGO	glob	2020	0.657	119.0
AGO	eco	2006	0.5872	69.0
AGO	eco	2007	0.5851	87.0
AGO	eco	2008	0.5843	87.0
AGO	eco	2009	0.5832	96.0
AGO	eco	2010	0.6296	76.0
AGO	eco	2011	0.5937	96.0
AGO	eco	2012	nan	nan
AGO	eco	2013	0.6163	92.0
AGO	eco	2014	0.5878	111.0
AGO	eco	2015	0.59	116.0
AGO	eco	2016	0.565	120.0
AGO	eco	2017	0.56	119.0
AGO	eco	2018	0.602	113.0
AGO	eco	2019	0.64	96.0
AGO	eco	2020	0.646	102.0
AGO	edu	2006	0.7792	107.0
AGO	edu	2007	0.7792	119.0
AGO	edu	2008	0.7779	122.0
AGO	edu	2009	0.7779	127.0
AGO	edu	2010	0.7854	125.0
AGO	edu	2011	0.7864	126.0
AGO	edu	2012	nan	nan
AGO	edu	2013	0.8062	127.0
AGO	edu	2014	0.7211	138.0
AGO	edu	2015	0.726	141.0
AGO	edu	2016	0.778	138.0
AGO	edu	2017	0.763	139.0
AGO	edu	2018	0.745	143.0
AGO	edu	2019	0.759	147.0
AGO	edu	2020	0.759	148.0
AGO	health	2006	0.9796	1.0
AGO	health	2007	0.9796	1.0
AGO	health	2008	0.9796	1.0
AGO	health	2009	0.9796	1.0
AGO	health	2010	0.9796	1.0
AGO	health	2011	0.9796	1.0
AGO	health	2012	nan	nan
AGO	health	2013	0.9796	1.0
AGO	health	2014	0.9754	61.0
AGO	health	2015	0.98	1.0
AGO	health	2016	0.98	1.0
AGO	health	2017	0.976	64.0
AGO	health	2018	0.98	1.0
AGO	health	2019	0.98	1.0
AGO	health	2020	0.978	53.0
AGO	pol	2006	0.0696	81.0
AGO	pol	2007	0.0696	92.0
AGO	pol	2008	0.0711	103.0
AGO	pol	2009	0.2007	36.0
AGO	pol	2010	0.2901	24.0
AGO	pol	2011	0.2898	24.0
AGO	pol	2012	nan	nan
AGO	pol	2013	0.2614	34.0
AGO	pol	2014	0.2402	38.0
AGO	pol	2015	0.251	38.0
AGO	pol	2016	0.251	40.0
AGO	pol	2017	0.262	39.0
AGO	pol	2018	0.206	58.0
AGO	pol	2019	0.262	46.0
AGO	pol	2020	0.245	59.0
ALB	glob	2006	0.6607	61.0
ALB	glob	2007	0.6685	66.0
ALB	glob	2008	0.6591	87.0
ALB	glob	2009	0.6601	91.0
ALB	glob	2010	0.6726	78.0
ALB	glob	2011	0.6748	78.0
ALB	glob	2012	0.6655	91.0
ALB	glob	2013	0.6412	108.0
ALB	glob	2014	0.6869	83.0
ALB	glob	2015	0.701	70.0
ALB	glob	2016	0.704	62.0
ALB	glob	2017	0.728	38.0
ALB	glob	2018	0.734	34.0
ALB	glob	2019	0.769	20.0
ALB	glob	2020	0.77	25.0
ALB	eco	2006	0.6613	38.0
ALB	eco	2007	0.6885	36.0
ALB	eco	2008	0.6491	62.0
ALB	eco	2009	0.6532	63.0
ALB	eco	2010	0.6808	51.0
ALB	eco	2011	0.7129	38.0
ALB	eco	2012	0.6663	63.0
ALB	eco	2013	0.6324	87.0
ALB	eco	2014	0.6534	78.0
ALB	eco	2015	0.671	69.0
ALB	eco	2016	0.668	73.0
ALB	eco	2017	0.673	70.0
ALB	eco	2018	0.701	54.0
ALB	eco	2019	0.743	36.0
ALB	eco	2020	0.748	35.0
ALB	edu	2006	0.9888	57.0
ALB	edu	2007	0.9925	48.0
